,baseline,seed,correlation,magnitude,split,loss,load_model,n_train,setup,one_task,setup2
96,7.255662785610184e-05,0,0.9,0.05,val,2.222589318989776e-05,True,32,backprop,True,PT+FT
97,7.255662785610184e-05,0,0.9,0.05,val,1.2203633559693117e-05,True,64,backprop,True,PT+FT
98,7.255662785610184e-05,0,0.9,0.05,val,5.139712811796926e-06,True,128,backprop,True,PT+FT
99,7.255662785610184e-05,0,0.9,0.05,val,9.589311957824975e-07,True,256,backprop,True,PT+FT
100,7.255662785610184e-05,0,0.9,0.05,val,1.444752513179992e-07,True,512,backprop,True,PT+FT
101,7.255662785610184e-05,0,0.9,0.05,val,2.9490964337242076e-08,True,1024,backprop,True,PT+FT
102,7.255662785610184e-05,0,0.9,0.05,val,7.255662785610184e-05,False,32,backprop,True,STL
103,7.255662785610184e-05,0,0.9,0.05,val,4.1697447159094736e-05,False,64,backprop,True,STL
104,7.255662785610184e-05,0,0.9,0.05,val,1.3631878573505674e-05,False,128,backprop,True,STL
105,7.255662785610184e-05,0,0.9,0.05,val,1.1236280670345877e-06,False,256,backprop,True,STL
106,7.255662785610184e-05,0,0.9,0.05,val,8.854708966055114e-08,False,512,backprop,True,STL
107,7.255662785610184e-05,0,0.9,0.05,val,7.181526484600909e-09,False,1024,backprop,True,STL
108,2.7424875952419825e-06,0,0.9,0.01,val,1.0008418485085713e-06,True,32,backprop,True,PT+FT
109,2.7424875952419825e-06,0,0.9,0.01,val,5.803231033496559e-07,True,64,backprop,True,PT+FT
110,2.7424875952419825e-06,0,0.9,0.01,val,2.930912046394951e-07,True,128,backprop,True,PT+FT
111,2.7424875952419825e-06,0,0.9,0.01,val,8.392613892738154e-08,True,256,backprop,True,PT+FT
112,2.7424875952419825e-06,0,0.9,0.01,val,3.192367614701652e-08,True,512,backprop,True,PT+FT
113,2.7424875952419825e-06,0,0.9,0.01,val,1.4318207064434318e-08,True,1024,backprop,True,PT+FT
114,2.7424875952419825e-06,0,0.9,0.01,val,2.7424875952419825e-06,False,32,backprop,True,STL
115,2.7424875952419825e-06,0,0.9,0.01,val,1.5347317230407498e-06,False,64,backprop,True,STL
116,2.7424875952419825e-06,0,0.9,0.01,val,5.738226604989904e-07,False,128,backprop,True,STL
