,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
10,10,35.92852849044196,PR Post,2,20,1000,2.0
11,11,0.0170426160718003,Overlap,2,20,1000,2.0
12,12,41.50849006304757,ENSD,3,20,1000,2.0
13,13,70.38950326730526,PR Pre,3,20,1000,2.0
14,14,47.43742344410848,PR Post,3,20,1000,2.0
15,15,0.0125837704787651,Overlap,3,20,1000,2.0
16,16,53.50225485470748,ENSD,4,20,1000,2.0
17,17,92.58679080015726,PR Pre,4,20,1000,2.0
18,18,61.657698781908266,PR Post,4,20,1000,2.0
19,19,0.0095084176088372,Overlap,4,20,1000,2.0
20,20,62.81653394357513,ENSD,5,20,1000,2.0
21,21,111.80474830721896,PR Pre,5,20,1000,2.0
22,22,71.9906960643135,PR Post,5,20,1000,2.0
23,23,0.0078973469790071,Overlap,5,20,1000,2.0
24,24,65.90700707070802,ENSD,6,20,1000,2.0
25,25,123.68766651160873,PR Pre,6,20,1000,2.0
26,26,76.48956114709746,PR Post,6,20,1000,2.0
27,27,0.0070508976156512,Overlap,6,20,1000,2.0
28,28,48.44212464120002,ENSD,7,20,1000,2.0
29,29,125.16061573242573,PR Pre,7,20,1000,2.0
30,30,58.88653347923563,PR Post,7,20,1000,2.0
31,31,0.0066436924195537,Overlap,7,20,1000,2.0
0,0,0.2133621556701311,ENSD,0,22,1000,0.125
1,1,2.4465283453507607,PR Pre,0,22,1000,0.125
2,2,3.519769642372163,PR Post,0,22,1000,0.125
3,3,0.0246536741033196,Overlap,0,22,1000,0.125
4,4,0.0312797764964719,ENSD,1,22,1000,0.125
5,5,2.317184600283291,PR Pre,1,22,1000,0.125
6,6,2.962772629032914,PR Post,1,22,1000,0.125
7,7,0.0040898673857251,Overlap,1,22,1000,0.125
8,8,0.0376815623581984,ENSD,2,22,1000,0.125
9,9,2.2470512529446487,PR Pre,2,22,1000,0.125
10,10,1.690918414421609,PR Post,2,22,1000,0.125
11,11,0.0099162758948902,Overlap,2,22,1000,0.125
12,12,0.0369982152079924,ENSD,3,22,1000,0.125
13,13,2.2130214399314028,PR Pre,3,22,1000,0.125
14,14,1.696127835807183,PR Post,3,22,1000,0.125
15,15,0.0098346771361927,Overlap,3,22,1000,0.125
16,16,0.0307744894409534,ENSD,4,22,1000,0.125
17,17,2.1475498206226384,PR Pre,4,22,1000,0.125
18,18,1.713912803172022,PR Post,4,22,1000,0.125
19,19,0.0083217235126843,Overlap,4,22,1000,0.125
20,20,0.0258250890927526,ENSD,5,22,1000,0.125
21,21,2.078597882950343,PR Pre,5,22,1000,0.125
22,22,1.7641173176575875,PR Post,5,22,1000,0.125
23,23,0.0070022897173961,Overlap,5,22,1000,0.125
24,24,0.0235587593418052,ENSD,6,22,1000,0.125
25,25,1.9993066579362149,PR Pre,6,22,1000,0.125
26,26,1.8057874190429408,PR Post,6,22,1000,0.125
27,27,0.0064876018247256,Overlap,6,22,1000,0.125
28,28,0.0219232564177988,ENSD,7,22,1000,0.125
29,29,1.9136057219283105,PR Pre,7,22,1000,0.125
30,30,1.852646746279532,PR Post,7,22,1000,0.125
31,31,0.0061549873401721,Overlap,7,22,1000,0.125
0,0,2.9166122909912957,ENSD,0,24,1000,0.5
1,1,2.774120557445442,PR Pre,0,24,1000,0.5
2,2,3.601471481861909,PR Post,0,24,1000,0.5
3,3,0.294878085454305,Overlap,0,24,1000,0.5
4,4,0.8188196886328815,ENSD,1,24,1000,0.5
5,5,4.068980267739653,PR Pre,1,24,1000,0.5
6,6,4.96781155088509,PR Post,1,24,1000,0.5
7,7,0.0406746647010246,Overlap,1,24,1000,0.5
8,8,0.2673863978444026,ENSD,2,24,1000,0.5
9,9,2.191345674735049,PR Pre,2,24,1000,0.5
10,10,3.968808253347325,PR Post,2,24,1000,0.5
11,11,0.0307599212974309,Overlap,2,24,1000,0.5
12,12,0.1891567262016087,ENSD,3,24,1000,0.5
13,13,1.5739748862394385,PR Pre,3,24,1000,0.5
14,14,3.971153360582413,PR Post,3,24,1000,0.5
15,15,0.0303019080311059,Overlap,3,24,1000,0.5
16,16,0.2030866243108879,ENSD,4,24,1000,0.5
17,17,1.6053929464665777,PR Pre,4,24,1000,0.5
18,18,4.163358338193966,PR Post,4,24,1000,0.5
19,19,0.0304298146317402,Overlap,4,24,1000,0.5
20,20,0.236420885880889,ENSD,5,24,1000,0.5
21,21,1.648022198340292,PR Pre,5,24,1000,0.5
22,22,4.37810532681524,PR Post,5,24,1000,0.5
23,23,0.0328244672467311,Overlap,5,24,1000,0.5
24,24,0.2311982516644352,ENSD,6,24,1000,0.5
25,25,1.6599273926894995,PR Pre,6,24,1000,0.5
26,26,4.391904334671732,PR Post,6,24,1000,0.5
27,27,0.0317713792125384,Overlap,6,24,1000,0.5
28,28,0.2371601865821723,ENSD,7,24,1000,0.5
29,29,1.6544057297020078,PR Pre,7,24,1000,0.5
30,30,4.482347153286134,PR Post,7,24,1000,0.5
31,31,0.0320452898740768,Overlap,7,24,1000,0.5
0,0,1.1850286773248817,ENSD,0,13,1000,0.25
1,1,2.7416939689870614,PR Pre,0,13,1000,0.25
2,2,5.453545458602153,PR Post,0,13,1000,0.25
3,3,0.0810595986743768,Overlap,0,13,1000,0.25
4,4,0.2291331880033023,ENSD,1,13,1000,0.25
5,5,1.95659906665184,PR Pre,1,13,1000,0.25
6,6,5.057189414403358,PR Post,1,13,1000,0.25
7,7,0.0229520990202824,Overlap,1,13,1000,0.25
8,8,0.0744564213657834,ENSD,2,13,1000,0.25
9,9,1.8141599098527024,PR Pre,2,13,1000,0.25
10,10,1.8901866859444445,PR Post,2,13,1000,0.25
11,11,0.0217909303804238,Overlap,2,13,1000,0.25
12,12,0.1044651479940837,ENSD,3,13,1000,0.25
13,13,1.7899856629518478,PR Pre,3,13,1000,0.25
14,14,1.903693745337275,PR Post,3,13,1000,0.25
15,15,0.0307340519502758,Overlap,3,13,1000,0.25
16,16,0.125790973555013,ENSD,4,13,1000,0.25
17,17,1.7977347322368045,PR Pre,4,13,1000,0.25
18,18,1.968954523369794,PR Post,4,13,1000,0.25
19,19,0.0356164587040742,Overlap,4,13,1000,0.25
20,20,0.1354451827441493,ENSD,5,13,1000,0.25
21,21,1.75934289883822,PR Pre,5,13,1000,0.25
22,22,1.9718038033205063,PR Post,5,13,1000,0.25
23,23,0.0391173859437306,Overlap,5,13,1000,0.25
24,24,0.1411833071612137,ENSD,6,13,1000,0.25
25,25,1.714842152037867,PR Pre,6,13,1000,0.25
26,26,1.9757572000309576,PR Post,6,13,1000,0.25
27,27,0.0417380506793657,Overlap,6,13,1000,0.25
28,28,0.142021307472379,ENSD,7,13,1000,0.25
29,29,1.7014464410745525,PR Pre,7,13,1000,0.25
30,30,2.0221914367883573,PR Post,7,13,1000,0.25
31,31,0.0413460582494735,Overlap,7,13,1000,0.25
0,0,2.536825300105436,ENSD,0,17,1000,2.0
