,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.73,14,finetuning,100,2.0,
0,1.0,0.525,26,finetuning,50,2.0,
0,1.0,0.845,16,multitask,1000,,0.0883469387755102
0,1.0,0.825,29,finetuning,50,1.0,
0,1.0,0.93,22,finetuning,100,0.5,
0,1.0,0.925,49,finetuning,500,0.25,
0,1.0,0.61,46,finetuning,10,1.0,
0,1.0,0.915,31,finetuning,200,0.125,
0,1.0,0.4,22,finetuning,10,2.0,
0,1.0,0.53,35,finetuning,10,0.25,
0,1.0,0.66,25,finetuning,200,2.0,
0,1.0,0.58,36,multitask,50,,0.029653061224489796
0,1.0,0.85,20,finetuning,500,1.0,
0,1.0,0.945,4,finetuning,1000,0.5,
0,1.0,0.92,5,finetuning,1000,0.25,
0,1.0,0.995,14,finetuning,1000,0.25,
0,1.0,0.53,5,finetuning,20,0.5,
0,1.0,0.495,42,finetuning,20,0.125,
0,1.0,0.865,28,multitask,1000,,0.14330612244897958
0,1.0,0.82,28,finetuning,100,0.125,
0,1.0,0.615,25,finetuning,20,1.0,
0,1.0,0.905,45,finetuning,500,1.0,
0,1.0,0.87,2,finetuning,500,0.5,
0,1.0,0.52,36,finetuning,20,0.125,
0,1.0,0.5,41,finetuning,20,2.0,
0,1.0,0.995,15,finetuning,1000,0.5,
0,1.0,0.685,39,finetuning,200,0.25,
0,1.0,0.78,15,multitask,50,,0.04195918367346939
0,1.0,0.77,37,finetuning,1000,2.0,
0,1.0,0.9,23,finetuning,200,0.25,
0,1.0,0.89,38,finetuning,1000,0.125,
0,1.0,0.885,21,finetuning,200,1.0,
0,1.0,0.51,44,finetuning,20,0.5,
0,1.0,0.745,27,finetuning,200,0.125,
0,1.0,0.86,47,finetuning,500,0.125,
0,1.0,0.735,25,multitask,500,,0.10646938775510204
0,1.0,0.65,35,multitask,10,,0.013020408163265306
0,1.0,0.895,5,finetuning,1000,0.125,
0,1.0,0.9,3,finetuning,200,0.5,
0,1.0,0.63,44,finetuning,200,1.0,
0,1.0,0.665,0,finetuning,20,2.0,
0,1.0,0.88,32,singletask,500,,
0,1.0,0.875,43,finetuning,1000,2.0,
0,1.0,0.85,10,finetuning,100,1.0,
0,1.0,0.54,4,finetuning,100,2.0,
0,1.0,0.845,25,finetuning,1000,1.0,
0,1.0,0.49,8,finetuning,10,2.0,
0,1.0,0.705,38,finetuning,200,0.5,
0,1.0,0.49,40,finetuning,10,0.125,
0,1.0,0.78,48,multitask,50,,0.033612244897959186
0,1.0,0.75,4,multitask,100,,0.051224489795918364
0,1.0,0.79,3,finetuning,50,1.0,
0,1.0,0.845,46,finetuning,50,0.125,
0,1.0,0.98,12,finetuning,500,0.5,
0,1.0,0.5,27,finetuning,10,0.5,
0,1.0,0.67,36,multitask,200,,0.05814285714285714
0,1.0,0.5,37,singletask,20,,
0,1.0,0.92,41,finetuning,500,2.0,
0,1.0,0.88,4,multitask,1000,,0.09728571428571428
0,1.0,0.515,44,singletask,10,,
0,1.0,0.725,48,finetuning,50,0.5,
0,1.0,0.65,21,multitask,20,,0.012571428571428572
0,1.0,0.71,28,finetuning,50,0.125,
0,1.0,0.87,24,finetuning,500,2.0,
0,1.0,0.695,32,finetuning,50,0.125,
0,1.0,0.565,46,singletask,50,,
0,1.0,0.785,23,finetuning,50,0.5,
0,1.0,0.55,34,finetuning,10,0.125,
0,1.0,0.93,41,multitask,1000,,0.11489795918367347
0,1.0,0.775,7,finetuning,10,1.0,
0,1.0,0.535,30,finetuning,200,2.0,
0,1.0,0.58,20,finetuning,10,0.25,
0,1.0,0.695,15,multitask,20,,0.021122448979591837
0,1.0,0.535,32,finetuning,20,2.0,
0,1.0,0.955,26,finetuning,100,0.25,
0,1.0,0.555,27,multitask,100,,0.06877551020408164
0,1.0,0.895,49,finetuning,500,0.5,
0,1.0,0.7,16,multitask,200,,0.047530612244897956
0,1.0,0.525,37,finetuning,100,0.5,
0,1.0,0.725,6,multitask,1000,,0.11012244897959184
0,1.0,0.89,20,finetuning,500,0.25,
0,1.0,0.87,11,finetuning,20,0.25,
0,1.0,0.79,37,singletask,1000,,
0,1.0,0.76,45,finetuning,10,0.25,
0,1.0,0.965,4,finetuning,200,0.125,
0,1.0,0.975,15,finetuning,200,0.125,
0,1.0,0.85,43,multitask,1000,,0.13093877551020408
0,1.0,0.73,48,finetuning,100,0.25,
0,1.0,0.795,45,finetuning,20,0.125,
0,1.0,0.99,30,finetuning,1000,0.25,
0,1.0,0.725,48,multitask,20,,0.016265306122448978
0,1.0,0.605,42,finetuning,100,0.125,
0,1.0,0.955,3,finetuning,1000,0.5,
0,1.0,0.5,13,finetuning,20,0.5,
0,1.0,0.515,37,singletask,50,,
0,1.0,0.985,0,finetuning,50,0.25,
0,1.0,0.705,6,multitask,500,,0.10622448979591836
0,1.0,0.535,35,finetuning,10,1.0,
0,1.0,0.7,21,multitask,50,,0.023142857142857142
0,1.0,0.93,30,singletask,500,,
0,1.0,0.85,31,finetuning,50,1.0,
0,1.0,0.975,12,finetuning,1000,0.5,
0,1.0,0.845,35,finetuning,500,1.0,
0,1.0,0.5,46,singletask,20,,
0,1.0,0.725,47,multitask,200,,0.06612244897959184
0,1.0,0.87,31,finetuning,20,0.125,
0,1.0,0.565,35,singletask,10,,
0,1.0,0.82,1,finetuning,20,0.25,
0,1.0,0.895,24,finetuning,200,0.25,
0,0.997,0.965,30,finetuning,1000,2.0,
